
327804.12500, 3,  -4.958,  6.116,  4.950, 4,  -1.140, -0.678,  0.056, 5,  -2.200,  2.500, 21.200 ,  0.02000000001862645
  
327804.13501, 3,  -4.634,  5.193,  4.845, 4,  -1.361, -0.534,  0.120, 5,  -2.100,  2.400, 21.300 ,  0.010010000027250499
  
327804.14501, 3,  -4.270,  4.482,  4.514, 4,  -1.496, -0.396,  0.241, 5,  -2.100,  2.400, 21.300 ,  0.009999999951105565
  
327804.15501, 3,  -3.899,  4.413,  4.507, 4,  -1.565, -0.417,  0.434, 5,  -1.800,  2.400, 21.400 ,  0.010000000009313226
  
327804.16500, 3,  -3.438,  4.878,  5.270, 4,  -1.586, -0.721,  0.655, 5,  -1.800,  2.400, 21.400 ,  0.009989999991375953
  
327804.17501, 3,  -3.138,  5.205,  6.992, 4,  -1.565, -1.175,  0.817, 5,  -1.600,  2.300, 21.500 ,  0.010010000027250499
  
327804.18500, 3,  -2.960,  5.110,  8.109, 4,  -1.479, -1.296,  0.863, 5,  -1.600,  2.300, 21.500 ,  0.009989999991375953
  
327804.19501, 3,  -2.994,  4.604,  8.337, 4,  -1.333, -1.020,  0.792, 5,  -1.400,  2.200, 21.600 ,  0.010010000027250499
  
327804.20500, 3,  -3.183,  4.064,  7.926, 4,  -1.186, -0.622,  0.686, 5,  -1.400,  2.200, 21.600 ,  0.009989999991375953
  
327804.21500, 3,  -3.399,  3.768,  7.563, 4,  -1.113, -0.342,  0.618, 5,  -1.200,  2.100, 21.700 ,  0.010000000009313226
  
327804.22500, 3,  -3.692,  3.581,  7.926, 4,  -1.184, -0.264,  0.621, 5,  -1.200,  2.100, 21.700 ,  0.009999999951105565
  
327804.23505, 3,  -3.865,  3.305,  8.337, 4,  -1.429, -0.262,  0.682, 5,  -1.000,  2.000, 21.700 ,  0.010050000040791929
  
327804.24500, 3,  -3.828,  2.923,  8.654, 4,  -1.796, -0.358,  0.791, 5,  -1.000,  2.000, 21.700 ,  0.009949999977834523
  
327804.25502, 3,  -3.464,  2.562,  9.200, 4,  -2.184, -0.599,  0.934, 5,  -0.800,  1.900, 21.800 ,  0.01001999998698011
  
327804.26501, 3,  -2.993,  2.246,  9.756, 4,  -2.492, -0.919,  1.092, 5,  -0.800,  1.900, 21.800 ,  0.009989999991375953
  
327804.27501, 3,  -2.541,  2.296, 10.270, 4,  -2.645, -1.224,  1.269, 5,  -0.600,  1.700, 21.800 ,  0.010000000009313226
  
327804.28501, 3,  -2.084,  2.453, 10.689, 4,  -2.616, -1.511,  1.459, 5,  -0.600,  1.700, 21.800 ,  0.010000000009313226
  
327804.29500, 3,  -1.742,  2.653, 11.122, 4,  -2.416, -1.780,  1.652, 5,  -0.300,  1.500, 21.800 ,  0.009989999991375953
  
327804.30501, 3,  -1.428,  2.871, 11.571, 4,  -2.093, -1.943,  1.809, 5,  -0.300,  1.500, 21.800 ,  0.010010000027250499
  
327804.31682, 3,  -1.219,  3.731, 13.100, 4,  -1.719, -1.991,  1.904, 5,   0.000,  1.400, 21.800 ,  0.011809999996330589
  
327804.32501, 3,  -1.219,  3.731, 13.100, 4,  -1.239, -1.796,  1.888, 5,   0.000,  1.400, 21.800 ,  0.008189999964088202
  
327804.33503, 3,  -1.271,  4.361, 13.773, 4,  -1.134, -1.658,  1.841, 5,   0.204,  1.195, 21.900 ,  0.010020000045187771
  
327804.34499, 3,  -1.354,  4.876, 14.205, 4,  -1.040, -1.297,  1.685, 5,   0.204,  1.195, 21.900 ,  0.009959999995771796
  
327804.35503, 3,  -1.496,  5.112, 14.062, 4,  -1.099, -0.835,  1.451, 5,   1.305,  0.143, 21.823 ,  0.010039999964646995
  
327804.36499, 3,  -1.658,  4.879, 13.501, 4,  -1.259, -0.393,  1.149, 5,   1.305,  0.143, 21.823 ,  0.009959999995771796
  
327804.37502, 3,  -1.616,  4.508, 13.094, 4,  -1.472,  0.062,  0.729, 5,   1.477, -0.465, 21.720 ,  0.010030000004917383
  
327804.38499, 3,  -1.508,  4.108, 12.748, 4,  -1.512,  0.189,  0.543, 5,   1.477, -0.465, 21.720 ,  0.009970000013709068
  
327804.39781, 3,  -1.002,  3.384, 13.283, 4,  -1.394,  0.225,  0.447, 5,   1.929, -1.100, 21.256 ,  0.012820000003557652
  
327804.40902, 3,  -0.565,  2.999, 13.047, 4,  -0.783,  0.690,  0.444, 5,   1.929, -1.100, 21.256 ,  0.01121000002603978
  
  
327804.43505, 3,  -0.456,  2.801, 11.056, 4,  -0.115,  1.275,  0.447, 5,   2.523, -1.497, 21.456 ,  0.02602999994996935
  
